
7443720976158,7443721783160,7443743085752,7443745026228
7443860834109,7443861573455,7443882999184,7443884435477
7443885090868,7443885809861,7443885815823,7443886390110
7443890809186,7443891531345,7443891539050,7443891993197
7444094916870,7444095833618,7444116754242,7444117909889
7685673682987,7685674646337,7685698640068,7685700498590
7685701452972,7685703000758,7685703008302,7685703712687
7685815134271,7685815881160,7685836906983,7685839427397
7685840559519,7685841738263,7685841745858,7685842296289
7685845181359,7685846380649,7685846394937,7685847266501
7856460438050,7856461231025,7856483070085,7856484494074
7981527201686,7981527949858,7981548174137,7981549703548
7990696555363,7990697620999,7990717561101,7990718909927
8410786939189,8410787770206,8410807484236,8410809158002
8416272283814,8416272913156,8416292013793,8416293235937
8418591846548,8418592498673,8418611141800,8418612301775
8467277259200,8467278137187,8467297761395,8467299302428
8473375972875,8473376828146,8473395977047,8473397155297
8478871172303,8478871733019,8478890364262,8478891436660
8481748037368,8481748613879,8481767504466,8481768792125
8483360237611,8483360668654,8483379149290,8483380209084
8484402000019,8484402574166,8484421046242,8484422110224
8485704559389,8485705042061,8485723244682,8485724200968
8486671013706,8486671795104,8486690638807,8486691641572
8487504570886,8487505423744,8487532579746,8487533570979
8488302375425,8488303144877,8488322165789,8488323120903
8489247271076,8489248092472,8489267536430,8489268673672
8490172803168,8490173525507,8490192448669,8490193384395
8491157152150,8491157569439,8491176499612,8491177569445
8491976843970,8491977278870,8492003981033,8492004894638
8492865752356,8492866123876,8492894795086,8492895785939
8493720219192,8493721128829,8493747793185,8493748688865
8494577011161,8494577607151,8494613174728,8494614077652
8495812909015,8495813492139,8495848522788,8495849527938
8496676808262,8496677383160,8496713295480,8496714300890
8497381365150,8497381873262,8497401263805,8497402179895
8498156934955,8498157432716,8498177056486,8498178145075
8498831014381,8498831712813,8498867778000,8498868824128
8546044272721,8546044969722,8546064577877,8546079306546
8546168194381,8546168715864,8546187850988,8546189421107
8546190992848,8546191559731,8546191563728,8546192166169
8546304354492,8546305001265,8546323797952,8546325788846
8546476152722,8546477318528,8546498959847,8546500878912
8546601079060,8546601741485,8546620833306,8546622281671
8546623562848,8546624326204,8546624331053,8546624834705
8546718066958,8546718737816,8546748078088,8546750396887
8546878133453,8546879110639,8546899763251,8546901205976
8547007344830,8547007899229,8547027125968,8547028602789
